indexs,技,支,中,名,area
2011/12/31,500209,108930,753605,0,北京
2012/12/31,497697,110573,681134,0,北京
2013/12/31,638166,142913,857195,73574,北京
2014/12/31,878176,200110,1501711,263337,北京
2015/12/31,1019910,233914,1824836,377865,北京
2016/12/31,1241150,306782,1427322,311311,北京
2017/12/31,1888488,351549,1305018,323009,北京
2018/12/31,2362577,373584,1404408,282120,北京
2019/12/31,1573753,295744,1007148,198614,北京
2020/12/31,1285083,387756,926532,211084,北京
2011/12/31,151629,52266,300740,0,天津
2012/12/31,158370,56911,301333,0,天津
2013/12/31,242408,76970,456226,23930,天津
2014/12/31,331692,115147,800533,91042,天津
2015/12/31,334776,109868,733651,106336,天津
2016/12/31,379010,146491,569630,90444,天津
2017/12/31,465147,158892,536956,107171,天津
2018/12/31,610500,176932,566366,97091,天津
2019/12/31,524130,134109,431965,72900,天津
2020/12/31,479884,137414,398760,89278,天津
2011/12/31,179200,54695,567845,0,河北
2012/12/31,192258,65435,561980,0,河北
2013/12/31,261966,91689,649055,26076,河北
2014/12/31,383705,127430,1057633,104723,河北
2015/12/31,432298,159347,1231174,137754,河北
2016/12/31,539025,223517,953678,135589,河北
2017/12/31,815832,272407,971333,188129,河北
2018/12/31,1012710,294572,963195,182547,河北
2019/12/31,776393,242312,786917,119217,河北
2020/12/31,765379,293658,776771,145844,河北
