,京,津,冀
0,0.01680772126936473,0.0,0.007119551631340219
1,0.015639414434328543,0.0005974751091980014,0.0072198170300343725
2,0.025977748005176087,0.0069131935489956785,0.01165332603410951
3,0.0556081657574591,0.021244860191726465,0.027491351994302145
4,0.06794630017730745,0.02162610149476613,0.03458084563022018
5,0.06933942123539431,0.020359267904819924,0.0352164538405946
6,0.0832536215400293,0.023518289199971693,0.04639103781566303
7,0.08709688813046126,0.025999928753131514,0.05011612189961966
8,0.061657639502644315,0.01879239770225364,0.03651769356693795
9,0.060294027351161565,0.01968081945924834,0.041340519789740134
